Latitude (decimal degrees): 7.435
Longitude (decimal degrees): 0.398
Elevation (m): 151.0
month,year
1,2017
2,2006
3,2009
4,2019
5,2018
6,2007
7,2010
8,2011
9,2005
10,2005
11,2017
12,2017
time(UTC),T2m,RH,G(h),Gb(n),Gd(h),IR(h),WS10m,WD10m,SP
20170101:0000,26.23,64.49,0.0,-0.0,0.0,361.74,1.18,161.0,99323.0
20170101:0100,25.59,68.52,0.0,-0.0,0.0,361.16,1.17,168.0,99293.0
20170101:0200,24.94,72.56,0.0,-0.0,0.0,360.59,1.17,174.0,99225.0
20170101:0300,24.3,76.59,0.0,-0.0,0.0,360.01,1.16,174.0,99185.0
20170101:0400,23.65,80.63,0.0,-0.0,0.0,359.43,1.16,160.0,99215.0
20170101:0500,23.01,84.66,0.0,-0.0,0.0,358.86,1.15,123.0,99205.0
20170101:0600,22.36,88.7,0.0,-0.0,0.0,358.28,1.15,87.0,99274.0
20170101:0700,21.72,92.73,139.0,263.34,85.0,357.71,1.14,48.0,99352.0
20170101:0800,25.71,74.5,363.0,482.14,159.0,361.8,0.28,310.0,99441.0
20170101:0900,27.38,63.75,577.0,609.3,206.0,366.8,0.55,317.0,99470.0
20170101:1000,28.8,54.7,752.0,698.92,228.0,371.6,0.34,343.0,99421.0
20170101:1100,30.23,46.05,860.0,740.41,241.0,375.8,0.28,50.0,99323.0
20170101:1200,31.51,39.65,892.0,751.82,244.0,379.2,0.14,341.0,99234.0
20170101:1300,32.44,35.35,846.0,735.23,239.0,382.0,0.76,289.0,99116.0
20170101:1400,32.99,33.45,722.0,674.37,230.0,383.6,1.38,283.0,99048.0
20170101:1500,33.09,33.0,541.0,589.26,199.0,383.8,1.79,282.0,98969.0
20170101:1600,32.57,35.1,321.0,440.49,150.0,382.4,2.28,281.0,98910.0
20170101:1700,31.42,41.5,100.0,192.63,68.0,379.2,1.93,284.0,98940.0
20170101:1800,29.77,52.55,0.0,-0.0,0.0,375.2,1.03,292.0,98979.0
20170101:1900,29.81,48.65,0.0,-0.0,0.0,373.4,0.41,270.0,99048.0
20170101:2000,29.05,55.2,0.0,-0.0,0.0,372.2,0.55,112.0,99156.0
20170101:2100,27.48,67.5,0.0,-0.0,0.0,371.2,0.9,104.0,99205.0
20170101:2200,26.42,71.4,0.0,-0.0,0.0,369.6,1.03,103.0,99283.0
20170101:2300,25.92,72.1,0.0,-0.0,0.0,367.6,1.1,112.0,99274.0
20170102:0000,25.6,72.65,0.0,-0.0,0.0,365.4,1.1,130.0,99225.0
20170102:0100,24.94,75.05,0.0,-0.0,0.0,363.25,1.24,148.0,99195.0
20170102:0200,23.84,80.4,0.0,-0.0,0.0,361.4,1.52,162.0,99146.0
20170102:0300,23.41,82.55,0.0,-0.0,0.0,359.4,1.93,169.0,99126.0
20170102:0400,23.1,85.0,0.0,-0.0,0.0,356.8,1.93,168.0,99146.0
20170102:0500,22.46,88.1,0.0,-0.0,0.0,357.8,1.59,152.0,99166.0
20170102:0600,21.99,88.75,0.0,-0.0,0.0,356.8,1.38,128.0,99234.0
20170102:0700,23.29,85.1,136.0,250.38,85.0,356.2,0.62,121.0,99313.0
20170102:0800,25.15,78.7,362.0,480.96,159.0,373.0,0.48,133.0,99441.0
20170102:0900,27.05,66.4,577.0,608.29,207.0,364.4,0.69,131.0,99490.0
20170102:1000,28.6,56.5,748.0,685.73,234.0,371.0,0.76,141.0,99480.0
20170102:1100,30.0,48.35,860.0,740.13,241.0,381.2,0.62,151.0,99401.0
20170102:1200,31.13,42.6,888.0,738.38,251.0,384.4,0.41,173.0,99323.0
20170102:1300,32.09,37.7,847.0,735.34,239.0,388.8,0.41,218.0,99205.0
20170102:1400,32.71,34.6,720.0,661.95,236.0,394.4,0.69,241.0,99126.0
20170102:1500,32.96,33.25,544.0,590.81,200.0,393.45,1.17,254.0,99067.0
20170102:1600,32.73,33.75,325.0,451.03,149.0,389.0,1.66,259.0,98999.0
20170102:1700,31.71,39.0,101.0,196.24,68.0,385.8,1.86,267.0,99038.0
20170102:1800,30.13,49.45,0.0,-0.0,0.0,383.4,1.31,279.0,99058.0
20170102:1900,29.32,55.8,0.0,-0.0,0.0,379.2,0.76,280.0,99146.0
20170102:2000,29.59,50.1,0.0,-0.0,0.0,379.6,0.14,37.0,99234.0
20170102:2100,27.62,66.05,0.0,-0.0,0.0,379.0,0.69,86.0,99313.0
20170102:2200,27.4,65.65,0.0,-0.0,0.0,378.2,0.9,88.0,99352.0
20170102:2300,26.7,67.3,0.0,-0.0,0.0,376.4,0.97,100.0,99352.0
20170103:0000,26.6,68.05,0.0,-0.0,0.0,373.4,0.9,122.0,99372.0
20170103:0100,26.08,70.85,0.0,-0.0,0.0,370.65,0.97,143.0,99323.0
20170103:0200,25.02,76.6,0.0,-0.0,0.0,368.6,1.1,166.0,99283.0
20170103:0300,23.57,84.4,0.0,-0.0,0.0,366.8,1.66,181.0,99254.0
20170103:0400,23.44,86.35,0.0,-0.0,0.0,365.4,1.86,182.0,99244.0
20170103:0500,22.74,90.55,0.0,-0.0,0.0,363.8,1.38,162.0,99244.0
20170103:0600,22.32,91.9,0.0,-0.0,0.0,363.8,1.24,139.0,99283.0
20170103:0700,23.48,86.05,133.0,242.13,84.0,367.8,0.76,146.0,99333.0
20170103:0800,25.5,78.85,361.0,479.71,159.0,363.8,0.48,149.0,99441.0
20170103:0900,27.3,66.5,576.0,608.87,206.0,368.8,0.41,118.0,99470.0
